date,campaign_id,campaign_name,ad_format,device,impressions,clicks,ctr,cpc,spend,conversions,cpa,revenue,roas
2026-01-01,topics_reviews,Тематика: сайты обзоров техники,image-banner,desktop,5596,42,0.7505,21.07,885.02,0,,0.0,0.0
2026-01-01,topics_reviews,Тематика: сайты обзоров техники,image-banner,mobile,6461,40,0.6191,12.59,503.62,0,,0.0,0.0
2026-01-01,topics_reviews,Тематика: сайты обзоров техники,video,desktop,5370,34,0.6331,22.53,766.12,0,,0.0,0.0
2026-01-01,topics_reviews,Тематика: сайты обзоров техники,video,mobile,9825,79,0.8041,13.95,1101.75,1,1101.75,5387.29,4.89
2026-01-01,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,desktop,10252,23,0.2243,21.34,490.84,0,,0.0,0.0
2026-01-01,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,mobile,16860,52,0.3084,21.94,1140.86,0,,0.0,0.0
2026-01-01,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,desktop,11113,39,0.3509,28.21,1100.36,0,,0.0,0.0
2026-01-01,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,mobile,19073,97,0.5086,17.95,1741.05,0,,0.0,0.0
2026-01-01,geo_moscow,"Гео: Москва и МО, широкий таргет",video,desktop,11170,57,0.5103,41.51,2366.21,0,,0.0,0.0
2026-01-01,geo_moscow,"Гео: Москва и МО, широкий таргет",video,mobile,15366,101,0.6573,20.29,2048.92,0,,0.0,0.0
2026-01-01,promo_seasonal,Промо: сезонные распродажи,text-image,desktop,4473,46,1.0284,20.49,942.47,2,471.24,16766.07,17.79
2026-01-01,promo_seasonal,Промо: сезонные распродажи,text-image,mobile,5517,56,1.015,20.09,1125.24,1,1125.24,8677.64,7.71
2026-01-01,promo_seasonal,Промо: сезонные распродажи,image-banner,desktop,3755,53,1.4115,26.62,1410.85,2,705.42,13297.37,9.43
2026-01-01,promo_seasonal,Промо: сезонные распродажи,image-banner,mobile,5330,62,1.1632,18.36,1138.45,1,1138.45,6961.03,6.11
2026-01-01,promo_seasonal,Промо: сезонные распродажи,video,desktop,5282,74,1.401,33.84,2504.39,2,1252.19,13805.75,5.51
2026-01-01,promo_seasonal,Промо: сезонные распродажи,video,mobile,5483,103,1.8785,28.28,2912.73,2,1456.37,16542.07,5.68
2026-01-01,brand_awareness,Охват: узнаваемость бренда,text-image,desktop,15720,40,0.2545,7.4,295.98,0,,0.0,0.0
2026-01-01,brand_awareness,Охват: узнаваемость бренда,text-image,mobile,31740,84,0.2647,4.75,399.38,0,,0.0,0.0
2026-01-01,brand_awareness,Охват: узнаваемость бренда,image-banner,desktop,14985,41,0.2736,7.35,301.23,0,,0.0,0.0
2026-01-01,brand_awareness,Охват: узнаваемость бренда,image-banner,mobile,30745,92,0.2992,5.19,477.72,0,,0.0,0.0
2026-01-01,brand_awareness,Охват: узнаваемость бренда,video,desktop,16082,54,0.3358,6.77,365.51,0,,0.0,0.0
2026-01-01,brand_awareness,Охват: узнаваемость бренда,video,mobile,22692,89,0.3922,6.95,618.26,0,,0.0,0.0
2026-01-02,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,desktop,2522,31,1.2292,30.32,939.77,2,469.88,15471.19,16.46
2026-01-02,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,mobile,3184,37,1.1621,18.67,690.9,1,690.9,10573.4,15.3
2026-01-02,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,desktop,2707,41,1.5146,29.31,1201.62,1,1201.62,6482.42,5.39
2026-01-02,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,mobile,2820,54,1.9149,29.21,1577.1,2,788.55,16025.37,10.16
2026-01-02,retargeting_cart,Ретаргетинг: брошенная корзина,video,desktop,2711,56,2.0657,52.22,2924.26,3,974.75,32094.53,10.98
2026-01-02,retargeting_cart,Ретаргетинг: брошенная корзина,video,mobile,3187,58,1.8199,33.47,1941.2,2,970.6,20963.07,10.8
2026-01-02,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,desktop,4322,42,0.9718,24.29,1020.39,1,1020.39,5976.65,5.86
2026-01-02,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,mobile,7307,60,0.8211,17.66,1059.8,1,1059.8,4730.69,4.46
2026-01-02,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,desktop,4340,41,0.9447,31.72,1300.61,1,1300.61,5067.09,3.9
2026-01-02,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,mobile,6740,71,1.0534,21.93,1557.34,1,1557.34,5817.87,3.74
2026-01-02,retargeting_viewed,Ретаргетинг: просмотр товаров,video,desktop,4057,59,1.4543,24.55,1448.61,2,724.3,10106.69,6.98
2026-01-02,retargeting_viewed,Ретаргетинг: просмотр товаров,video,mobile,4709,62,1.3166,23.7,1469.27,1,1469.27,4748.19,3.23
2026-01-02,lookalike_buyers,Look-alike: покупатели,text-image,desktop,6550,37,0.5649,17.3,640.2,0,,0.0,0.0
2026-01-02,lookalike_buyers,Look-alike: покупатели,text-image,mobile,8011,43,0.5368,13.37,574.9,0,,0.0,0.0
2026-01-02,lookalike_buyers,Look-alike: покупатели,image-banner,desktop,6906,52,0.753,18.43,958.25,1,958.25,4424.52,4.62
2026-01-02,lookalike_buyers,Look-alike: покупатели,image-banner,mobile,8300,72,0.8675,13.12,944.96,0,,0.0,0.0
2026-01-02,lookalike_buyers,Look-alike: покупатели,video,desktop,6602,76,1.1512,26.56,2018.89,1,2018.89,7416.56,3.67
2026-01-02,lookalike_buyers,Look-alike: покупатели,video,mobile,9501,89,0.9367,19.6,1744.58,1,1744.58,5362.82,3.07
2026-01-02,interests_electronics,Интересы: электроника и гаджеты,text-image,desktop,10228,30,0.2933,15.46,463.67,0,,0.0,0.0
2026-01-02,interests_electronics,Интересы: электроника и гаджеты,text-image,mobile,15504,83,0.5353,10.71,888.91,0,,0.0,0.0
2026-01-02,interests_electronics,Интересы: электроника и гаджеты,image-banner,desktop,11839,78,0.6588,12.11,944.95,1,944.95,4225.63,4.47
2026-01-02,interests_electronics,Интересы: электроника и гаджеты,image-banner,mobile,11875,64,0.5389,10.76,688.38,0,,0.0,0.0
2026-01-02,interests_electronics,Интересы: электроника и гаджеты,video,desktop,10890,74,0.6795,14.34,1060.88,1,1060.88,3755.6,3.54
2026-01-02,interests_electronics,Интересы: электроника и гаджеты,video,mobile,17133,153,0.893,14.25,2180.41,1,2180.41,5113.31,2.35
2026-01-02,topics_reviews,Тематика: сайты обзоров техники,text-image,desktop,6372,35,0.5493,11.47,401.34,0,,0.0,0.0
2026-01-02,topics_reviews,Тематика: сайты обзоров техники,text-image,mobile,6648,42,0.6318,13.25,556.64,0,,0.0,0.0
2026-01-02,topics_reviews,Тематика: сайты обзоров техники,image-banner,desktop,6530,45,0.6891,17.64,793.6,1,793.6,4988.46,6.29
2026-01-02,topics_reviews,Тематика: сайты обзоров техники,image-banner,mobile,10301,76,0.7378,12.95,984.4,0,,0.0,0.0
2026-01-02,topics_reviews,Тематика: сайты обзоров техники,video,desktop,4277,39,0.9119,18.82,733.94,0,,0.0,0.0
2026-01-02,topics_reviews,Тематика: сайты обзоров техники,video,mobile,8661,90,1.0391,11.98,1078.56,0,,0.0,0.0
2026-01-02,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,desktop,11610,44,0.379,22.54,991.75,0,,0.0,0.0
2026-01-02,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,mobile,19932,66,0.3311,18.37,1212.55,0,,0.0,0.0
2026-01-02,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,desktop,15805,80,0.5062,25.62,2049.88,1,2049.88,6026.43,2.94
2026-01-02,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,mobile,19255,69,0.3583,26.62,1836.93,0,,0.0,0.0
2026-01-02,geo_moscow,"Гео: Москва и МО, широкий таргет",video,desktop,13540,48,0.3545,35.33,1696.03,0,,0.0,0.0
2026-01-02,geo_moscow,"Гео: Москва и МО, широкий таргет",video,mobile,15360,88,0.5729,21.46,1888.2,0,,0.0,0.0
2026-01-02,promo_seasonal,Промо: сезонные распродажи,text-image,desktop,5661,58,1.0246,23.03,1335.85,2,667.92,15043.64,11.26
2026-01-02,promo_seasonal,Промо: сезонные распродажи,text-image,mobile,6494,80,1.2319,13.88,1110.46,1,1110.46,8199.13,7.38
2026-01-02,promo_seasonal,Промо: сезонные распродажи,image-banner,desktop,5179,60,1.1585,29.59,1775.11,1,1775.11,8013.63,4.51
2026-01-02,promo_seasonal,Промо: сезонные распродажи,image-banner,mobile,5508,72,1.3072,18.02,1297.26,2,648.63,11890.84,9.17
2026-01-02,promo_seasonal,Промо: сезонные распродажи,video,desktop,4272,63,1.4747,31.33,1973.79,3,657.93,23421.58,11.87
2026-01-02,promo_seasonal,Промо: сезонные распродажи,video,mobile,8428,129,1.5306,20.16,2601.1,3,867.03,17770.32,6.83
2026-01-02,brand_awareness,Охват: узнаваемость бренда,text-image,desktop,20774,39,0.1877,7.1,276.81,0,,0.0,0.0
2026-01-02,brand_awareness,Охват: узнаваемость бренда,text-image,mobile,26493,48,0.1812,4.92,236.37,0,,0.0,0.0
2026-01-02,brand_awareness,Охват: узнаваемость бренда,image-banner,desktop,16508,51,0.3089,6.39,325.87,0,,0.0,0.0
2026-01-02,brand_awareness,Охват: узнаваемость бренда,image-banner,mobile,22906,71,0.31,4.3,304.98,0,,0.0,0.0
2026-01-02,brand_awareness,Охват: узнаваемость бренда,video,desktop,15047,43,0.2858,8.42,361.9,0,,0.0,0.0
2026-01-02,brand_awareness,Охват: узнаваемость бренда,video,mobile,31575,124,0.3927,5.56,690.04,0,,0.0,0.0
2026-01-03,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,desktop,2124,30,1.4124,42.81,1284.19,1,1284.19,8929.47,6.95
2026-01-03,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,mobile,2206,27,1.2239,22.18,598.74,1,598.74,9761.74,16.3
2026-01-03,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,desktop,1284,21,1.6355,34.34,721.12,1,721.12,9387.41,13.02
2026-01-03,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,mobile,2494,50,2.0048,27.69,1384.61,2,692.3,15917.28,11.5
2026-01-03,retargeting_cart,Ретаргетинг: брошенная корзина,video,desktop,1310,21,1.6031,38.41,806.53,1,806.53,7630.91,9.46
2026-01-03,retargeting_cart,Ретаргетинг: брошенная корзина,video,mobile,1937,35,1.8069,33.37,1167.86,1,1167.86,9321.04,7.98
2026-01-03,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,desktop,2248,20,0.8897,22.6,452.06,0,,0.0,0.0
2026-01-03,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,mobile,3958,30,0.758,15.38,461.25,0,,0.0,0.0
2026-01-03,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,desktop,2607,28,1.074,28.36,793.94,1,793.94,6556.73,8.26
2026-01-03,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,mobile,3440,35,1.0174,17.26,603.97,0,,0.0,0.0
2026-01-03,retargeting_viewed,Ретаргетинг: просмотр товаров,video,desktop,3665,60,1.6371,37.82,2269.37,2,1134.68,11627.43,5.12
2026-01-03,retargeting_viewed,Ретаргетинг: просмотр товаров,video,mobile,3999,61,1.5254,19.07,1163.47,1,1163.47,7510.86,6.46
2026-01-03,lookalike_buyers,Look-alike: покупатели,text-image,desktop,3491,21,0.6015,13.72,288.03,0,,0.0,0.0
2026-01-03,lookalike_buyers,Look-alike: покупатели,text-image,mobile,7923,44,0.5553,11.48,505.18,0,,0.0,0.0
2026-01-03,lookalike_buyers,Look-alike: покупатели,image-banner,desktop,3944,23,0.5832,20.2,464.66,0,,0.0,0.0
2026-01-03,lookalike_buyers,Look-alike: покупатели,image-banner,mobile,7572,73,0.9641,17.17,1253.63,0,,0.0,0.0
2026-01-03,lookalike_buyers,Look-alike: покупатели,video,desktop,3626,35,0.9653,26.14,914.94,0,,0.0,0.0
2026-01-03,lookalike_buyers,Look-alike: покупатели,video,mobile,6370,57,0.8948,23.1,1316.45,0,,0.0,0.0
2026-01-03,interests_electronics,Интересы: электроника и гаджеты,text-image,desktop,6063,30,0.4948,14.75,442.56,0,,0.0,0.0
2026-01-03,interests_electronics,Интересы: электроника и гаджеты,text-image,mobile,8246,39,0.473,7.38,287.8,0,,0.0,0.0
2026-01-03,interests_electronics,Интересы: электроника и гаджеты,image-banner,desktop,7000,37,0.5286,14.25,527.21,0,,0.0,0.0
2026-01-03,interests_electronics,Интересы: электроника и гаджеты,image-banner,mobile,12552,73,0.5816,10.34,754.53,0,,0.0,0.0
2026-01-03,interests_electronics,Интересы: электроника и гаджеты,video,desktop,8829,54,0.6116,18.28,987.38,0,,0.0,0.0
2026-01-03,interests_electronics,Интересы: электроника и гаджеты,video,mobile,10742,97,0.903,13.69,1328.38,0,,0.0,0.0
2026-01-03,topics_reviews,Тематика: сайты обзоров техники,text-image,desktop,4408,17,0.3857,16.08,273.36,0,,0.0,0.0
2026-01-03,topics_reviews,Тематика: сайты обзоров техники,text-image,mobile,7541,35,0.4641,9.15,320.29,0,,0.0,0.0
2026-01-03,topics_reviews,Тематика: сайты обзоров техники,image-banner,desktop,3972,22,0.5539,12.91,283.99,0,,0.0,0.0
2026-01-03,topics_reviews,Тематика: сайты обзоров техники,image-banner,mobile,6560,47,0.7165,12.32,579.06,0,,0.0,0.0
2026-01-03,topics_reviews,Тематика: сайты обзоров техники,video,desktop,3769,31,0.8225,20.28,628.77,0,,0.0,0.0
2026-01-03,topics_reviews,Тематика: сайты обзоров техники,video,mobile,5524,55,0.9957,11.03,606.45,0,,0.0,0.0
2026-01-03,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,desktop,9722,33,0.3394,31.61,1043.18,0,,0.0,0.0
2026-01-03,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,mobile,11425,32,0.2801,22.42,717.51,0,,0.0,0.0
2026-01-03,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,desktop,10954,36,0.3286,26.52,954.77,0,,0.0,0.0
2026-01-03,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,mobile,11385,63,0.5534,21.12,1330.54,0,,0.0,0.0
2026-01-03,geo_moscow,"Гео: Москва и МО, широкий таргет",video,desktop,10315,63,0.6108,40.51,2552.34,0,,0.0,0.0
2026-01-03,geo_moscow,"Гео: Москва и МО, широкий таргет",video,mobile,14737,62,0.4207,32.55,2018.1,0,,0.0,0.0
2026-01-03,promo_seasonal,Промо: сезонные распродажи,text-image,desktop,2697,27,1.0011,26.21,707.75,0,,0.0,0.0
2026-01-03,promo_seasonal,Промо: сезонные распродажи,text-image,mobile,5623,47,0.8359,21.61,1015.85,1,1015.85,5214.08,5.13
2026-01-03,promo_seasonal,Промо: сезонные распродажи,image-banner,desktop,4365,56,1.2829,34.57,1935.89,2,967.95,12347.63,6.38
2026-01-03,promo_seasonal,Промо: сезонные распродажи,image-banner,mobile,4849,47,0.9693,20.26,952.44,1,952.44,8243.35,8.65
2026-01-03,promo_seasonal,Промо: сезонные распродажи,video,desktop,3462,41,1.1843,39.86,1634.29,1,1634.29,8726.57,5.34
2026-01-03,promo_seasonal,Промо: сезонные распродажи,video,mobile,5104,87,1.7045,25.61,2228.32,2,1114.16,15211.76,6.83
2026-01-03,brand_awareness,Охват: узнаваемость бренда,text-image,desktop,12640,22,0.1741,6.75,148.52,0,,0.0,0.0
2026-01-03,brand_awareness,Охват: узнаваемость бренда,text-image,mobile,24567,56,0.2279,4.43,247.92,0,,0.0,0.0
2026-01-03,brand_awareness,Охват: узнаваемость бренда,image-banner,desktop,10478,29,0.2768,5.44,157.81,0,,0.0,0.0
2026-01-03,brand_awareness,Охват: узнаваемость бренда,image-banner,mobile,19633,62,0.3158,5.21,323.1,0,,0.0,0.0
2026-01-03,brand_awareness,Охват: узнаваемость бренда,video,desktop,10364,41,0.3956,6.92,283.74,0,,0.0,0.0
2026-01-03,brand_awareness,Охват: узнаваемость бренда,video,mobile,21300,66,0.3099,7.64,504.43,0,,0.0,0.0
2026-01-04,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,desktop,1513,14,0.9253,43.01,602.18,1,602.18,9728.08,16.15
2026-01-04,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,mobile,1929,25,1.296,22.07,551.71,1,551.71,9602.88,17.41
2026-01-04,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,desktop,1358,21,1.5464,47.01,987.23,1,987.23,8660.86,8.77
2026-01-04,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,mobile,2263,38,1.6792,32.1,1219.82,1,1219.82,9135.83,7.49
2026-01-04,retargeting_cart,Ретаргетинг: брошенная корзина,video,desktop,1421,20,1.4075,59.74,1194.81,1,1194.81,6534.15,5.47
2026-01-04,retargeting_cart,Ретаргетинг: брошенная корзина,video,mobile,2112,36,1.7045,29.41,1058.66,1,1058.66,7624.66,7.2
2026-01-04,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,desktop,2304,21,0.9115,16.51,346.76,0,,0.0,0.0
2026-01-04,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,mobile,4459,32,0.7176,14.58,466.43,0,,0.0,0.0
2026-01-04,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,desktop,1968,19,0.9654,20.15,382.8,0,,0.0,0.0
2026-01-04,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,mobile,3396,29,0.8539,15.1,437.88,0,,0.0,0.0
2026-01-04,retargeting_viewed,Ретаргетинг: просмотр товаров,video,desktop,2423,38,1.5683,24.09,915.28,1,915.28,7758.24,8.48
2026-01-04,retargeting_viewed,Ретаргетинг: просмотр товаров,video,mobile,3045,52,1.7077,25.53,1327.35,1,1327.35,7716.93,5.81
2026-01-04,lookalike_buyers,Look-alike: покупатели,text-image,desktop,3928,18,0.4582,23.0,414.06,0,,0.0,0.0
2026-01-04,lookalike_buyers,Look-alike: покупатели,text-image,mobile,6789,46,0.6776,16.11,741.15,0,,0.0,0.0
2026-01-04,lookalike_buyers,Look-alike: покупатели,image-banner,desktop,4786,41,0.8567,26.58,1089.78,0,,0.0,0.0
2026-01-04,lookalike_buyers,Look-alike: покупатели,image-banner,mobile,6207,48,0.7733,11.06,530.68,0,,0.0,0.0
2026-01-04,lookalike_buyers,Look-alike: покупатели,video,desktop,4698,35,0.745,28.61,1001.41,0,,0.0,0.0
2026-01-04,lookalike_buyers,Look-alike: покупатели,video,mobile,5791,64,1.1052,18.25,1167.99,0,,0.0,0.0
2026-01-04,interests_electronics,Интересы: электроника и гаджеты,text-image,desktop,5853,23,0.393,10.6,243.78,0,,0.0,0.0
2026-01-04,interests_electronics,Интересы: электроника и гаджеты,text-image,mobile,6712,33,0.4917,7.21,237.91,0,,0.0,0.0
2026-01-04,interests_electronics,Интересы: электроника и гаджеты,image-banner,desktop,5754,27,0.4692,12.47,336.61,0,,0.0,0.0
2026-01-04,interests_electronics,Интересы: электроника и гаджеты,image-banner,mobile,6726,36,0.5352,11.35,408.66,0,,0.0,0.0
2026-01-04,interests_electronics,Интересы: электроника и гаджеты,video,desktop,6857,51,0.7438,20.2,1030.32,0,,0.0,0.0
2026-01-04,interests_electronics,Интересы: электроника и гаджеты,video,mobile,9472,61,0.644,12.16,742.04,0,,0.0,0.0
2026-01-04,topics_reviews,Тематика: сайты обзоров техники,text-image,desktop,3131,20,0.6388,14.74,294.89,0,,0.0,0.0
2026-01-04,topics_reviews,Тематика: сайты обзоров техники,text-image,mobile,5055,26,0.5143,11.82,307.21,0,,0.0,0.0
2026-01-04,topics_reviews,Тематика: сайты обзоров техники,image-banner,desktop,2877,17,0.5909,14.65,249.04,0,,0.0,0.0
2026-01-04,topics_reviews,Тематика: сайты обзоров техники,image-banner,mobile,5508,41,0.7444,10.78,441.87,0,,0.0,0.0
2026-01-04,topics_reviews,Тематика: сайты обзоров техники,video,desktop,3065,28,0.9135,23.04,645.17,0,,0.0,0.0
2026-01-04,topics_reviews,Тематика: сайты обзоров техники,video,mobile,4945,55,1.1122,15.48,851.39,0,,0.0,0.0
2026-01-04,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,desktop,6064,14,0.2309,28.7,401.81,0,,0.0,0.0
2026-01-04,geo_moscow,"Гео: Москва и МО, широкий таргет",text-image,mobile,9952,32,0.3215,17.06,546.05,0,,0.0,0.0
2026-01-04,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,desktop,5620,23,0.4093,24.38,560.67,0,,0.0,0.0
2026-01-04,geo_moscow,"Гео: Москва и МО, широкий таргет",image-banner,mobile,8820,36,0.4082,19.37,697.18,0,,0.0,0.0
2026-01-04,geo_moscow,"Гео: Москва и МО, широкий таргет",video,desktop,9012,38,0.4217,42.76,1624.7,0,,0.0,0.0
2026-01-04,geo_moscow,"Гео: Москва и МО, широкий таргет",video,mobile,10329,45,0.4357,28.45,1280.39,0,,0.0,0.0
2026-01-04,promo_seasonal,Промо: сезонные распродажи,text-image,desktop,3176,32,1.0076,28.03,897.0,1,897.0,8344.94,9.3
2026-01-04,promo_seasonal,Промо: сезонные распродажи,text-image,mobile,4685,39,0.8324,13.7,534.26,0,,0.0,0.0
2026-01-04,promo_seasonal,Промо: сезонные распродажи,image-banner,desktop,3092,34,1.0996,30.06,1021.95,1,1021.95,7130.55,6.98
2026-01-04,promo_seasonal,Промо: сезонные распродажи,image-banner,mobile,5392,78,1.4466,18.4,1435.23,2,717.62,12014.39,8.37
2026-01-04,promo_seasonal,Промо: сезонные распродажи,video,desktop,2883,31,1.0753,36.68,1137.07,1,1137.07,5735.18,5.04
2026-01-04,promo_seasonal,Промо: сезонные распродажи,video,mobile,4144,70,1.6892,23.67,1657.1,1,1657.1,6958.39,4.2
2026-01-04,brand_awareness,Охват: узнаваемость бренда,text-image,desktop,8764,16,0.1826,4.62,73.91,0,,0.0,0.0
2026-01-04,brand_awareness,Охват: узнаваемость бренда,text-image,mobile,15353,33,0.2149,5.49,181.09,0,,0.0,0.0
2026-01-04,brand_awareness,Охват: узнаваемость бренда,image-banner,desktop,13509,44,0.3257,6.26,275.38,0,,0.0,0.0
2026-01-04,brand_awareness,Охват: узнаваемость бренда,image-banner,mobile,17275,59,0.3415,4.61,271.9,0,,0.0,0.0
2026-01-04,brand_awareness,Охват: узнаваемость бренда,video,desktop,10995,34,0.3092,9.18,312.03,0,,0.0,0.0
2026-01-04,brand_awareness,Охват: узнаваемость бренда,video,mobile,19995,74,0.3701,5.7,421.74,0,,0.0,0.0
2026-01-05,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,desktop,1608,16,0.995,28.43,454.89,1,454.89,8585.73,18.87
2026-01-05,retargeting_cart,Ретаргетинг: брошенная корзина,text-image,mobile,3772,49,1.299,20.33,996.2,1,996.2,6770.41,6.8
2026-01-05,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,desktop,1692,22,1.3002,31.6,695.13,1,695.13,9347.93,13.45
2026-01-05,retargeting_cart,Ретаргетинг: брошенная корзина,image-banner,mobile,4083,76,1.8614,26.8,2036.44,2,1018.22,21141.44,10.38
2026-01-05,retargeting_cart,Ретаргетинг: брошенная корзина,video,desktop,1686,25,1.4828,44.12,1103.05,1,1103.05,9307.81,8.44
2026-01-05,retargeting_cart,Ретаргетинг: брошенная корзина,video,mobile,2534,43,1.6969,39.99,1719.46,1,1719.46,8967.08,5.22
2026-01-05,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,desktop,3559,30,0.8429,17.68,530.41,0,,0.0,0.0
2026-01-05,retargeting_viewed,Ретаргетинг: просмотр товаров,text-image,mobile,5283,56,1.06,12.31,689.51,1,689.51,7363.21,10.68
2026-01-05,retargeting_viewed,Ретаргетинг: просмотр товаров,image-banner,desktop,3440,45,1.3081,19.88,894.4,1,894.4,6092.58,6.81
